"","institution_clean","Year","Randomised","Randomised_percentage","Blinded","Blinded_percentage","SSC","SSC_percentage"
"1","The University of Edinburgh",2012,2,100,0,NA,1,50
"2","The University of Edinburgh",2013,2,100,0,NA,1,50
"3","The University of Edinburgh",2014,1,33.3333333333333,2,66.6666666666667,0,NA
"4","The University of Edinburgh",2016,1,50,1,50,0,NA
"5","The University of Edinburgh",2017,0,NA,1,50,0,NA
"6","The University of Edinburgh",2018,0,NA,1,33.3333333333333,2,66.6666666666667
"7","University of Bristol",2011,3,50,0,NA,2,33.3333333333333
"8","University of Bristol",2012,2,66.6666666666667,0,NA,0,NA
"9","University of Bristol",2013,3,75,0,NA,1,25
"10","University of Bristol",2014,5,62.5,3,37.5,2,25
"11","University of Bristol",2015,4,57.1428571428571,1,14.2857142857143,1,14.2857142857143
"12","University of Bristol",2016,3,42.8571428571429,2,28.5714285714286,3,42.8571428571429
"13","University of Bristol",2017,6,85.7142857142857,7,100,3,42.8571428571429
"14","University of Bristol",2018,4,80,3,60,2,40
"15","University of Cambridge",2011,2,50,2,50,1,25
"16","University of Cambridge",2012,4,50,3,37.5,2,25
"17","University of Cambridge",2013,4,50,4,50,1,12.5
"18","University of Cambridge",2014,5,50,6,60,3,30
"19","University of Cambridge",2015,5,41.6666666666667,5,41.6666666666667,4,33.3333333333333
"20","University of Cambridge",2016,11,52.3809523809524,6,28.5714285714286,9,42.8571428571429
"21","University of Cambridge",2017,5,27.7777777777778,9,50,8,44.4444444444444
"22","University of Cambridge",2018,4,36.3636363636364,8,72.7272727272727,4,36.3636363636364
"23","University of Hull",2016,1,100,0,NA,1,100
"24","University of Nottingham",2011,0,NA,1,100,0,NA
"25","University of Nottingham",2012,0,NA,1,100,0,NA
"26","University of Nottingham",2013,1,33.3333333333333,0,NA,0,NA
"27","University of Nottingham",2014,2,66.6666666666667,1,33.3333333333333,2,66.6666666666667
"28","University of Nottingham",2015,3,75,2,50,3,75
"29","University of Nottingham",2016,2,33.3333333333333,2,33.3333333333333,3,50
"30","University of Nottingham",2017,3,50,3,50,3,50
"31","University of Nottingham",2018,4,66.6666666666667,2,33.3333333333333,2,33.3333333333333
"32","University of Oxford",2011,4,57.1428571428571,2,28.5714285714286,3,42.8571428571429
"33","University of Oxford",2012,3,30,2,20,3,30
"34","University of Oxford",2013,5,38.4615384615385,6,46.1538461538462,5,38.4615384615385
"35","University of Oxford",2014,7,46.6666666666667,4,26.6666666666667,4,26.6666666666667
"36","University of Oxford",2015,6,40,6,40,5,33.3333333333333
"37","University of Oxford",2016,11,47.8260869565217,13,56.5217391304348,9,39.1304347826087
"38","University of Oxford",2017,12,60,16,80,7,35
"39","University of Oxford",2018,13,50,14,53.8461538461538,11,42.3076923076923
